code	english	code	malay
66999	Whose books are those?	960871	Ini buku-buku siapa?
68387	That country is five times as large as Japan.	1230473	Negara itu adalah lima kali lebih besar daripada Jepun.
68388	That country abounds in oil.	1008233	Negara itu kaya dengan minyak.
69916	You should have kept it secret.	992034	Anda sepatutnya merahsiakannya.
69969	You are not to blame for the accident.	342097	Kamu tidak akan dimarahi tentang kejadian itu.
70341	I'm sorry I opened your mail by mistake.	1014506	Saya minta maaf saya telah membuka surat awak secara tidak sengaja.
70511	How do you pronounce your last name?	972115	Bagaimana anda menyebut nama akhir anda?
71054	May I ask you a question?	720371	Boleh saya tanya soalan?
71377	Food you eat that you don't like will not be digested well.	974202	Makanan yang anda makan, tetapi tidak suka, tidak akan dicernakan dengan baik.
71776	Who is the woman standing there?	1230944	Siapa wanita yang berdiri di situ?
72006	He should have worked harder.	974251	Dia sepatutnya bekerja lebih keras.
72483	You should take the number 5 bus.	720198	Anda harus naik bas nombor 5.
72878	I've been waiting for you since two o'clock.	641200	Saya sudah menunggu kamu sejak pukul dua.
72952	I'll call back in twenty minutes.	960788	Saya akan menelefon kembali dalam dua puluh minit.
73502	One, three, and five are odd numbers.	720276	Satu, tiga dan lima adalah nombor-nombor ganjil.
73894	"What are these?" "They are your pictures."	1230488	"Apa ini?" "Ini adalah gambar anda."
239038	Kaneko was so stressed out at her new job that she had a nervous breakdown.	972228	Kaneko berasa tertekan dengan jawatannya yang baru bahawa dia mengalami patah jiwa.
240043	Five minutes later she emerged from the kitchen.	2883748	Selepas lima minit, dia muncul daripada dapur.
240419	There are a lot of children in the park.	751590	Ada banyak anak kecil di taman.
240718	Strike while the iron is hot.	972165	Jangan biarkan sejuk gulai di tungku.
241543	I'm very hungry now.	971846	Sekarang, saya lapar.
242949	Two students are absent today.	1230925	Dua pelajar tidak hadir hari ini.
245439	When I get through with my work, I'll call you.	2883745	Selepas selesai kerja saya akan telefon awak.
245915	Children should keep away from the river. It's dangerous.	1014481	Kanak-kanak patut menjauhi sungai. Ia berbahaya.
247807	We must sleep at least seven hours a day.	720043	Kita mesti tidur untuk sekurang-kurangnya tujuh jam sehari.
248747	We arrived here safely yesterday.	984789	Kami telah tiba di sini dengan selamat semalam.
248754	We went to the movies last night.	961240	Kami telah pergi menonton wayang itu malam tadi.
248918	We believe in God.	1929774	Kami percaya kepada Tuhan.
248918	We believe in God.	1929775	Kami percaya kepada Allah.
249353	We go to school because we want to learn.	720049	Kita pergi ke sekolah kerana kita mahu belajar.
250122	My bike was stolen yesterday.	711825	Basikal saya telah dicuri semalam.
250557	My house is designed so as to withstand an earthquake.	974255	Rumah saya direkabentuk untuk menahan sebuah gempa bumi.
250993	From my point of view, Australia is one of the best countries in the world.	342157	Melihat dari pandangan saya, Australia ialah salah satu negara yang terbaik dalam dunia ini.
251937	My dream is to be a firefighter.	720058	Impian saya adalah untuk menjadi seorang ahli bomba.
252143	I bought a camera for 30 dollars.	960824	Saya membeli sebuah kamera untuk 30 dolar.
252507	I want to change ten thousand yen to dollars.	961008	Saya mahu menukar sepuluh ribu yen untuk dolar.
252632	I'll be sixteen in September.	2883775	Saya akan jadi enam belas tahun September ini.
252935	I can't remember the tune of that song.	720307	Saya tidak boleh ingat kembali melodi lagu itu.
253094	When can I swim here?	960914	Bilakah saya boleh berenang di sini?
253422	I was playing a game when I felt an earthquake.	960962	Saya sedang bermain permainan apabila saya rasa sebuah gempa bumi.
255084	I'm a member of the tennis club.	978701	Saya adalah seorang ahli kelab tenis.
256029	I went to see the doctor, only to find him absent.	984782	Saya telah pergi untuk berjumpa doktor, semata-mata untuk mendapati dia cuti.
256252	I took a taxi from the station to the hotel.	972194	Saya mengambil teksi dari stesen ke hotel.
256324	I like music, but I also like paintings.	751609	Saya suka musik dan juga melukis.
256571	I was asked to buy some cakes on the way home from the office.	1929770	Saya telah diminta untuk membeli sedikit kek dalam perjalanan pulang dari pejabat.
256728	I can read Spanish easily.	974223	Saya boleh baca bahasa Sepanyol dengan mudah.
257058	I agree with you.	972191	Saya setuju dengan kamu.
257501	I'm at the airport now.	372566	Saya berada di lapangan terbang sekarang.
258043	I hear with my ears.	720016	Saya dengar dengan telinga.
258392	I turned right.	974236	Saya pusing ke kanan.
258650	I was mildly disappointed.	924091	Saya berasa sedikit kecewa.
259133	I didn't study at all.	924084	Saya langsung tidak belajar.
260212	I work with him.	751334	Saya bekerja dengannya.
260297	I wanted him to go there.	720045	Saya mahu dia pergi ke sana.
260723	I interpreted his silence as consent.	971788	Dia berdiam diri dan saya mentafsirkan bahawa dia bersetuju.
261727	I cannot afford the time for a vacation.	1230506	Saya tiada masa untuk mengambil cuti.
261752	While I was reading, I fell asleep.	974231	Semasa saya sedang membaca, saya tertidur.
261848	I go home early every day.	2865252	Saya balik awal setiap hari.
261966	I let go of the rope.	924079	Saya lepaskan tali.
261982	I'll come back.	372567	Saya akan kembali.
262197	I want to study abroad.	960974	Saya mahu belajar di luar negeri.
263056	We are studying hard in preparation for the exams.	720078	Kami sedang belajar keras untuk peperiksaan.
263118	We went swimming in the river.	1230526	Kami pergi merenang dalam sungai.
263513	Little did they dream of losing the game.	366682	Dalam mimpipun, mereka takkan membayangkan akan kalah dalam pertandingan tersebut.
263614	The dentist pulled my bad tooth.	960851	Doktor gigi mencabut gigi yang buruk.
264302	When does the next train leave?	723283	Bila kereta api selanjutnya akan berangkat?
264499	May I borrow your bike?	960793	Boleh saya pinjam basikal anda?
264557	You've got to carry out your commitment at all costs.	1929829	Awak perlu melaksanakan tanggungjawab awak dengan apa cara sekali pun.
264587	You must do it for yourself.	1230302	Kamu mesti membuatnya sendiri.
264923	I go to school at seven.	341946	Saya pergi ke sekolah pada pukul tujuh.
265594	You must take care when you drive a car.	1230412	Anda mesti berhati-hati semasa memandu kereta.
265988	Remember to post the letter.	3276531	Jangan lupa kirimkan surat itu.
266349	The leaves fall to the earth in autumn.	1929824	Daun-daun gugur ke bumi ketika musim luruh.
267168	All of you have to read it.	911706	Kamu semua mesti membacanya.
267242	The girls objected to our plan.	342100	Perempuan itu telah membantah rancangan kami.
267476	In the future we may need to take another look at the way decisions such as this are actually implemented.	961227	Pada masa depan, kita mungkin perlu untuk melihat semula pada cara keputusan seperti ini telah dilaksanakan sebenarnya.
268016	The boy passed the examination with success.	971794	Budak itu melulus peperiksaan dengan kejayaan.
268104	Go to the barber.	720115	Pergi ke kedai gunting.
269174	I need a new bicycle.	974228	Saya perlu sebuah basikal baru.
272230	Look before you leap.	972167	Ingat sebelum kena, jimat sebelum habis.
272481	Please show your ticket.	372562	Sila tunjukkan tiket anda.
275103	The solar altitude is 20 degrees.	2912765	Altitud solar ialah 20 darjah.
275263	Have you lost weight?	720311	Anda telah hilang berat badan?
275682	How long have you been staying in Osaka?	342060	Berapa lamakah kamu telah tinggal di Osaka?
276195	Do you know who painted this picture?	1891657	Anda tahu siapa yang lukiskan gambar ini?
276208	Do you know who wrote this novel?	720035	Anda tahu siapa yang menulis novel ini?
276653	Nobody answered the telephone.	974213	Tiada sesiapa yang menjawab telefon.
277887	The city was wrapped in fog.	984787	Bandar itu telah diselubungi kabus.
278308	The pain has gone.	1789062	Sakit sudah hilang.
279428	It is better for the health to live in the country than in the city.	2912795	Ia lebih baik untuk kesihatan jika hidup di kawasan pedalaman daripada di bandar.
281558	Japan plays an important role in promoting world peace.	979805	Jepun memainkan peranan penting dalam mempromosikan keamanan dunia.
281828	It being Sunday, the supermarket was very crowded.	720113	Kerana ia hari Ahad, ramai orang berada di pasar raya.
281903	Might I come in?	751312	Boleh saya masuk?
282684	Can you read phonetic signs?	751564	Dapatkan kamu membaca tanda fonetik?
283085	He decided not to buy the house, because in the first place it was too expensive, and in the second place it was too far from his office.	974222	Dia mengambil keputusan bahawa dia tidak mahu beli rumah itu, kerana pertamanya, ia terlalu mahal dan seterusnya, ia terlalu jauh dari pejabatnya.
283839	The place where he lives is far from town.	1230424	Dia tinggal di tempat yang jauh dari bandar.
285301	Let me go in place of him.	711831	Biar saya ganti tempat dia.
285556	His knowledge of English is poor.	1230193	Pemahaman Bahasa Inggerisnya lemah.
286023	You can not believe a word he says.	720008	Anda tidak boleh percaya apa dia cakap.
286367	His wife is in the hospital because she was injured in a car crash.	1230408	Isterinya di hospital kerana dia cedera dalam kemalangan kereta.
286621	His hands feel rough.	720065	Tanganya rasa kasar.
2660334	His present is a bottle of wine.	992038	Hadiahnya adalah satu botol wain.
287641	His name is Kenji, but we call him Ken.	720010	Namanya Kenji, tetapi kita memanggilnya Ken.
288593	He is always here between 5 and 6 o'clock.	974232	Dia selalu disini atara pukul 5 dan 6.
289347	It seems that he is telling a lie.	751383	Sepertinya dia berkata bohong.
289874	He went out of this door, never to return.	1021701	Dia telah keluar daripada pintu ini, tidak sekali-kali untuk kembali.
291921	He has a habit of keeping the door open.	2883759	Dia ada tabiat membiarkan pintu terbuka.
292435	He went to Paris, where he met me for the first time.	1230290	Dia pergi ke Paris, di mana dia menjumpai saya untuk pertama kali.
292790	He seldom, if ever, goes to church.	2928360	Dia jarang, jika pernah, pergi ke gereja.
293115	He promised not to tell another lie.	723294	Dia berjanji yang dia tidak akan membohong sekali lagi.
293782	He has never played golf.	1230502	Dia tidak pernah bermain golf.
294211	It appears that he is a musician.	972091	Nampaknya bahawa dia seorang ahli muzik.
294395	He insured his house against fire.	971800	Dia mengambil insurans rumah daripada kebakaran.
295272	He caught three fish.	720006	Dia menangkap tiga ekor ikan.
296039	He put the key in the lock.	974254	Dia meletakkan kunci ke dalam mangga.
296213	He has no friends to talk with.	972214	Dia tidak mempunyai kawan untuk bercakap dengan.
297600	He said that money was lent to me.	1021704	Dia berkata bahawa duit itu telah dipinjamkan kepada saya.
297780	He persists in his opinion.	972178	Dia berterusan dalam pendapatnya.
298681	He carried out his plan.	960855	Dia melakukan rancanganya.
299510	He went to New York on business.	1269579	Dia ke New York atas urusan perniagaan.
300217	He was fined five pounds for drunken driving.	1444041	Dia didenda lima paun kerana memandu dalam keadaan mabuk.
300793	He was educated by her grandfather.	1230923	Dia dididik oleh datuknya.
300802	He was suspended from school for a week for bad conduct.	720050	Dia digantung sekolah untuk satu minggu kerana dia melakukan pekara yang buruk.
300971	He left a large fortune to his son.	751548	Dia mewariskan banyak kekayaan ke anaknya.
301712	He has a fear that his brother will fail.	711813	Dia takut adiknya akan gagal.
301712	He has a fear that his brother will fail.	711814	Dia takut abangnya akan gagal.
301880	He was burning with his anger.	751606	Dia terbakar rasa marah.
302161	He has no less than two thousand yen with him.	1230278	Dia ada sekurang-kurang dua ribu yen dengannya.
302162	He was never to come here.	1230280	Dia tidak sepatutnya datang sini.
302241	He's very much interested in the Japanese language.	1230930	Dia sungguh meminati bahasa Jepun.
303670	He brushed his hat.	720047	Dia menyikat topinya.
305535	They stopped talking.	720007	Mereka berhenti bercakap.
306194	They drove to the station by car.	720012	Mereka memandu ke stesen dengan menggunakan kereta.
306531	They dropped an atomic bomb on Hiroshima.	960882	Mereka menjatuhkan bom atom di Hiroshima.
307895	Bring him in.	720241	Bawanya ke dalam.
308375	She cannot have gone to bed yet.	1467003	Dia sepatutnya belum tidur lagi.
308957	She is wrong.	720009	Dia salah.
309097	Her house is very modern.	2912805	Rumah dia sangat moden.
310431	She was always telephoning me.	720069	Dia selalu menalifon saya.
310506	When was she born?	720316	Bila dia dilahirkan?
310839	She must have visited England last summer.	960601	Dia mesti telah melawat England pada musim panas lalu.
311600	She won't give up easily.	720048	Dia tidak muda memutus asa.
311792	She has lived alone for ages.	751350	Dia telah tinggal sendiri selama bertahun-tahun
311898	She smiled.	961033	Dia senyum
312010	She lost her handbag.	720318	Dia terhilang beg tanganya.
312621	She is secretary to Mr Uda.	1230938	Dia ialah setiausaha kepada Encik Uda.
312868	She likes to cook for her family.	751336	Dia suka memasak untuk keluarganya.
312878	Her free time goes in playing golf.	720110	Masa lapangnya digunakan untuk bermain golf.
314234	She asked me to open the window.	661215	Dia minta saya buka tingkap.
314243	She asked me who had arrived first.	661216	Dia bertanya kepada saya siapa yang sampai dahulu.
314244	She gave me a watch for a birthday present.	661217	Dia memberi saya jam tangan sebagai hadiah hari jadi.
314256	She showed me his album.	661218	Dia menunjukkan albumnya kepada saya
314257	She asked me if I knew his address.	661219	Dia bertanya jika saya mengetahui alamatnya
314257	She asked me if I knew his address.	661220	Dia bertanya jika saya tahu alamatnya
314258	She told me her secret.	661221	Dia memberitahu saya rahsianya.
314265	She asked me about my mother.	661222	Dia bertanya tentang Ibu saya
314265	She asked me about my mother.	661223	Dia bertanya tentang emak saya.
314267	She told me an interesting story.	661224	Dia telah memberitahu saya sebuah cerita yang menarik.
314270	She wanted me to come.	661225	Dia mahu saya datang.
314271	She promised me to come.	661226	Dia berjanji kepada saya untuk datang.
314272	She gave me a piece of good advice.	661227	Dia telah memberi saya sebuah nasihat yang berguna.
314274	She knows ten times as many English words as I do.	661228	Dia tahu sepuluh kali ganda lebih banyak perkataan Bahasa Inggeris dari saya.
314281	She is my classmate.	661229	Dia ialah rakan sekelas saya.
314281	She is my classmate.	661230	Dia merupakan rakan sekelas saya.
314283	She pulled my shirt.	661231	Dia menarik baju saya.
314283	She pulled my shirt.	661232	Dia menarik baju kemeja saya.
314309	She complained to me of my small salary.	2912777	Dia mengadu kepada saya tentang gaji kecil saya.
314832	She must've been beautiful when she was young.	751558	Dia pasti sangat cantik pada masa mudanya.
315567	She insists on her son being innocent.	960829	Dia bertegas bahawa anak lelakinya tidak bersalah.
315663	As she grew older, she became more beautiful.	960621	Semakin dia menjadi tua, dia menjadi semakin cantik.
316396	She's not his sister, but his mother.	1891654	Dia bukan kakaknya, tetapi ibunya.
316640	She is beautiful, intelligent and, what is best of all, very kind-hearted.	974224	Dia cantik, cerdik dan terbaik dari semua, sangat baik hati.
318055	The plane flew above the clouds.	960990	Kapal terbang itu terbang atas awan.
319344	My father loves my mother.	962282	Bapa saya mencintai ibu saya.
319373	My father has the same car as Mr Kimura's.	971839	Ayah saya memiliki kereta yang sama sebagai Encik Kimura.
319709	The wind is blowing from the east.	751277	Angin bertiup dari arah timur
319962	Don't do things by halves.	971821	Jangan hangat-hangat tahi ayam.
321141	Please remember to mail my letter.	960929	Sila ingat untuk menghantar surat saya.
321510	My hobby is collecting old coins.	720046	Hobi saya adalah mengumpul syiling lama.
322492	The curtain fell.	720085	Tirai telah jatuh.
322505	Hope to see you again next year.	974256	Harap dapat melihat anda lagi tahun depan.
322809	Don't waste your breath.	962137	Jangan berceloteh.
323128	You can visit me tomorrow.	972190	Anda boleh melawat saya esok hari.
323182	I'd like a wake-up call at seven tomorrow morning.	2912775	Saya ingin sebuah panggilan untuk bangun pada tujuh pagi esok.
325237	Boil one egg.	974241	Rebus sebiji telur.
328793	This site is in a toplist. If you found it interesting, please click!	2391669	Laman ini berada dalam senarai teratas. Jika anda mendapati ia menarik, sila klik!
329117	A firewall will guarantee Internet security.	961002	Sebuah tembok api akan menjamin keselamatan Internet.
336509	I know you think you understood what you thought I said, but I'm not sure you realized that what you heard is not what I meant.	1465654	Saya tahu kamu memahami apa yang kamu ingat saya kata tetapi saya rasa kamu tidak faham bahawa apa yang kamu dengar bukan apa yang saya ingin kata.
337076	She's stubborn.	1465659	Dia seorang yang degil.
348574	I vowed that I would never speak to her again.	1267499	Aku bersumpah tidak akan bercakap dengannya lagi.
349064	I don't know.	342077	Saya tidak tahu.
350858	The printer in Peter's office is broken and doesn't print anymore.	1929693	Pencetak di pejabat Peter sudah rosak dan tidak boleh mencetak lagi.
358588	I went to the library to read a book.	1267502	Saya ke perpustakaan untuk membaca buku.
360526	This caterpillar will turn into a beautiful butterfly.	751597	Ulat ini akan berubah menjadi kupu-kupu yang cantik.
361350	Happy New Year!	694569	Selamat tahun baru!
367130	Linux is a free operating system; you should try it.	720269	Linux adalah sistem pengendalian yang percuma, anda harus mencubanya.
367132	I often use SSH to access my computers remotely.	720267	Saya selalu menggunakan SSH untuk mengakses komputer dari jauh.
370607	He raised his hand.	962166	Dia mengangkat tanganya.
370708	Where do you live?	342075	Anda Tinggal Di mana?
371919	Do you want the green or the blue?	723285	Anda mahu yang hijau atau yang biru?
373279	He is no longer a child.	972222	Beliau tidak lagi kanak-kanak.
373320	How are you?	342072	Apa Khabar?
374444	He lives in Tokyo.	1230215	Dia tinggal di Tokyo.
374827	Thank you!	720204	Terima kasih!
376063	What is new?	720252	Apakah yang baru?
376610	I do not understand.	342076	Saya Tidak Faham.
378042	Why did you paint the bank red?	1444039	Mengapa kamu mengecat bank itu merah?
378270	Do you speak English?	342073	Adakah anda fasih berbahasa Inggeris?
378524	Good question!	720218	Soalan yang baik.
383835	I don't remember!	1230224	Saya tak ingat!
387585	He came back from China.	971852	Dia pulang dari negeri Cina.
392142	I won't let him come here again.	984778	Saya tidak akan membiarkan dia datang ke sini semula.
396210	Why did you turn down his request for a pay raise?	960791	Kenapa anda menolak permintaannya untuk menaikan gajinya?
398746	Hello, world!	1078334	Salam dunia.
403284	Where is the pain?	1789068	Sakit di mana?
407860	Korean food is generally very hot.	1230298	Makanan Korea biasanya sangat pedas.
415594	Please sit down.	961134	Sila duduk.
416551	You can study, no matter your age.	974225	Anda boleh belajar, tidak kira usia anda.
416551	You can study, no matter your age.	974226	Anda boleh belajar, tidak kira umur anda.
425535	Manners maketh man.	972153	Elok bahasa, kan bakal hidup, elok budi, kan bakal mati.
426950	Good night!	1476536	Selamat malam.
428084	He's in Tokyo.	720011	Dia berada di Tokyo.
429820	Are you new?	1216851	Awak baru?
433423	What did you say?	720259	Apa anda katakan?
435198	You're lying, aren't you?	720080	Anda sedang membohong kan?
435247	Those two men sneaked into the house and were seen by someone.	2912772	Dua lelaki itu menyelinap masuk ke dalam rumah itu dan dilihat oleh seseorang.
435771	Life is enjoyable.	984744	Hidup adalah menyeronokkan.
436371	I am happy.	972212	Saya berasa gembira.
436601	I forgot my money.	974240	Saya terlupa duit saya.
436617	I got up today with a pain in my neck.	1789069	Saya bangun pagi dengan sakit di leher.
441969	Please say it more loudly.	974230	Tolong cakap lebih kuat.
450072	Best before 01/09/2010.	974218	Baik sebelum 01/09/2010.
